Iso:"AD","Iso":"AND"
Iso:"EC","Iso":"ECU"
Iso:"EE","Iso":"EST"
Iso:"EG","Iso":"EGY"
Iso:"EH","Iso":"ESH"
Iso:"ER","Iso":"ERI"
Iso:"ES","Iso":"ESP"
Iso:"ET","Iso":"ETH"
Iso:"FI","Iso":"FIN"
Iso:"FJ","Iso":"FJI"
Iso:"FK","Iso":"FLK"
Iso:"FM","Iso":"FSM"
Iso:"FO","Iso":"FRO"
Iso:"FR","Iso":"FRA"
Iso:"GA","Iso":"GAB"
Iso:"GB","Iso":"GBR"
Iso:"GD","Iso":"GRD"
Iso:"GE","Iso":"GEO"
Iso:"GF","Iso":"GUF"
Iso:"GG","Iso":"GGY"
Iso:"GH","Iso":"GHA"
Iso:"GI","Iso":"GIB"
Iso:"GL","Iso":"GRL"
Iso:"GM","Iso":"GMB"
Iso:"GN","Iso":"GIN"
Iso:"GP","Iso":"GLP"
Iso:"GQ","Iso":"GNQ"
Iso:"GR","Iso":"GRC"
Iso:"GS","Iso":"SGS"
Iso:"GT","Iso":"GTM"
Iso:"GU","Iso":"GUM"
Iso:"GW","Iso":"GNB"
Iso:"GY","Iso":"GUY"
Iso:"HK","Iso":"HKG"
Iso:"HM","Iso":"HMD"
Iso:"HN","Iso":"HND"
Iso:"HR","Iso":"HRV"
Iso:"HT","Iso":"HTI"
Iso:"HU","Iso":"HUN"
Iso:"ID","Iso":"IDN"
Iso:"IE","Iso":"IRL"
Iso:"IL","Iso":"ISR"
Iso:"IM","Iso":"IMN"
Iso:"IN","Iso":"IND"
Iso:"IO","Iso":"IOT"
Iso:"IQ","Iso":"IRQ"
Iso:"IR","Iso":"IRN"
Iso:"IS","Iso":"ISL"
Iso:"IT","Iso":"ITA"
Iso:"JE","Iso":"JEY"
Iso:"JM","Iso":"JAM"
Iso:"JO","Iso":"JOR"
Iso:"JP","Iso":"JPN"
Iso:"KE","Iso":"KEN"
Iso:"KG","Iso":"KGZ"
Iso:"KH","Iso":"KHM"
Iso:"KI","Iso":"KIR"
Iso:"KM","Iso":"COM"
Iso:"KN","Iso":"KNA"
Iso:"KP","Iso":"PRK"
Iso:"KR","Iso":"KOR"
Iso:"XK","Iso":"XKX"
Iso:"KW","Iso":"KWT"
Iso:"KY","Iso":"CYM"
Iso:"KZ","Iso":"KAZ"
Iso:"LA","Iso":"LAO"
Iso:"LB","Iso":"LBN"
Iso:"LC","Iso":"LCA"
Iso:"LI","Iso":"LIE"
Iso:"LK","Iso":"LKA"
Iso:"LR","Iso":"LBR"
Iso:"LS","Iso":"LSO"
Iso:"LT","Iso":"LTU"
Iso:"LU","Iso":"LUX"
Iso:"LV","Iso":"LVA"
Iso:"LY","Iso":"LBY"
Iso:"MA","Iso":"MAR"
Iso:"MC","Iso":"MCO"
Iso:"MD","Iso":"MDA"
Iso:"ME","Iso":"MNE"
Iso:"MF","Iso":"MAF"
Iso:"MG","Iso":"MDG"
Iso:"MH","Iso":"MHL"
Iso:"MK","Iso":"MKD"
Iso:"ML","Iso":"MLI"
Iso:"MM","Iso":"MMR"
Iso:"MN","Iso":"MNG"
Iso:"MO","Iso":"MAC"
Iso:"MP","Iso":"MNP"
Iso:"MQ","Iso":"MTQ"
Iso:"MR","Iso":"MRT"
Iso:"MS","Iso":"MSR"
Iso:"MT","Iso":"MLT"
Iso:"MU","Iso":"MUS"
Iso:"MV","Iso":"MDV"
Iso:"MW","Iso":"MWI"
Iso:"MX","Iso":"MEX"
Iso:"MY","Iso":"MYS"
Iso:"MZ","Iso":"MOZ"
Iso:"NA","Iso":"NAM"
Iso:"NC","Iso":"NCL"
Iso:"NE","Iso":"NER"
Iso:"NF","Iso":"NFK"
Iso:"NG","Iso":"NGA"
Iso:"NI","Iso":"NIC"
Iso:"NL","Iso":"NLD"
Iso:"NO","Iso":"NOR"
Iso:"NP","Iso":"NPL"
Iso:"NR","Iso":"NRU"
Iso:"NU","Iso":"NIU"
Iso:"NZ","Iso":"NZL"
Iso:"OM","Iso":"OMN"
Iso:"PA","Iso":"PAN"
Iso:"PE","Iso":"PER"
Iso:"PF","Iso":"PYF"
Iso:"PG","Iso":"PNG"
Iso:"PH","Iso":"PHL"
Iso:"PK","Iso":"PAK"
Iso:"PL","Iso":"POL"
Iso:"PM","Iso":"SPM"
Iso:"PN","Iso":"PCN"
Iso:"PR","Iso":"PRI"
Iso:"PS","Iso":"PSE"
Iso:"PT","Iso":"PRT"
Iso:"PW","Iso":"PLW"
Iso:"PY","Iso":"PRY"
Iso:"QA","Iso":"QAT"
Iso:"RE","Iso":"REU"
Iso:"RO","Iso":"ROU"
Iso:"RS","Iso":"SRB"
Iso:"RU","Iso":"RUS"
Iso:"RW","Iso":"RWA"
Iso:"SA","Iso":"SAU"
Iso:"SB","Iso":"SLB"
Iso:"SC","Iso":"SYC"
Iso:"SD","Iso":"SDN"
Iso:"SS","Iso":"SSD"
Iso:"SE","Iso":"SWE"
Iso:"SG","Iso":"SGP"
Iso:"SH","Iso":"SHN"
Iso:"SI","Iso":"SVN"
Iso:"SJ","Iso":"SJM"
Iso:"SK","Iso":"SVK"
Iso:"SL","Iso":"SLE"
Iso:"SM","Iso":"SMR"
Iso:"SN","Iso":"SEN"
Iso:"SO","Iso":"SOM"
Iso:"SR","Iso":"SUR"
Iso:"ST","Iso":"STP"
Iso:"SV","Iso":"SLV"
Iso:"SX","Iso":"SXM"
Iso:"SY","Iso":"SYR"
Iso:"SZ","Iso":"SWZ"
Iso:"TC","Iso":"TCA"
Iso:"TD","Iso":"TCD"
Iso:"TF","Iso":"ATF"
Iso:"TG","Iso":"TGO"
Iso:"TH","Iso":"THA"
Iso:"TJ","Iso":"TJK"
Iso:"TK","Iso":"TKL"
Iso:"TL","Iso":"TLS"
Iso:"TM","Iso":"TKM"
Iso:"TN","Iso":"TUN"
Iso:"TO","Iso":"TON"
Iso:"TR","Iso":"TUR"
Iso:"TT","Iso":"TTO"
Iso:"TV","Iso":"TUV"
Iso:"TW","Iso":"TWN"
Iso:"TZ","Iso":"TZA"
Iso:"UA","Iso":"UKR"
Iso:"UG","Iso":"UGA"
Iso:"UM","Iso":"UMI"
Iso:"US","Iso":"USA"
Iso:"UY","Iso":"URY"
Iso:"UZ","Iso":"UZB"
Iso:"VA","Iso":"VAT"
Iso:"VC","Iso":"VCT"
Iso:"VE","Iso":"VEN"
Iso:"VG","Iso":"VGB"
Iso:"VI","Iso":"VIR"
Iso:"VN","Iso":"VNM"
Iso:"VU","Iso":"VUT"
Iso:"WF","Iso":"WLF"
Iso:"WS","Iso":"WSM"
Iso:"YE","Iso":"YEM"
Iso:"YT","Iso":"MYT"
Iso:"ZA","Iso":"ZAF"
Iso:"ZM","Iso":"ZMB"
Iso:"ZW","Iso":"ZWE"
Iso:"CS","Iso":"SCG"
Iso:"AN","Iso":"ANT"
